时间,新关注人数,取消关注人数,净增关注人数,累积关注人数
2015/4/1,23,2,21,421
2015/4/2,15,0,15,437
2015/4/3,23,0,23,459
2015/4/4,12,0,12,471
2015/4/5,18,0,18,489
2015/4/6,15,3,12,503
2015/4/7,18,1,17,518
2015/4/8,15,2,13,0
2015/4/9,14,0,14,546
2015/4/10,12,0,12,556
2015/4/11,44,1,43,599
2015/4/12,14,1,13,614
2015/4/13,18,0,18,632
2015/4/14,20,1,19,650
2015/4/15,22,0,22,672
2015/4/16,21,0,21,693
2015/4/17,14,1,13,705
2015/4/18,8,0,8,714
2015/4/19,15,1,14,726
2015/4/20,15,1,14,741
2015/4/21,19,1,18,759
2015/4/22,11,2,9,770
2015/4/23,12,1,11,780
2015/4/24,11,0,11,793
2015/4/25,15,1,14,806
2015/4/26,5,0,5,811
2015/4/27,13,1,12,821
2015/4/28,18,5,13,835
2015/4/29,14,2,12,846
2015/4/30,6,0,6,852
2015/5/1,10,1,9,852
2015/5/2,11,1,10,872
2015/5/3,11,2,9,881
2015/5/4,14,1,13,893
2015/5/5,14,2,12,907
2015/5/6,14,1,13,918
2015/5/7,9,0,9,918
2015/5/8,21,2,19,946
2015/5/9,12,3,9,956
2015/5/10,8,3,5,962
2015/5/11,19,0,19,979
2015/5/12,26,1,25,1006
2015/5/13,19,1,18,1023
2015/5/14,12,2,10,1036
2015/5/15,11,3,8,1042
2015/5/16,5,1,4,1043
2015/5/17,10,1,9,1054
2015/5/18,11,1,10,1064
2015/5/19,23,3,20,1083
2015/5/20,4,1,3,1087
2015/5/21,14,3,11,1097
2015/5/22,17,2,15,1112
2015/5/23,9,1,8,1121
2015/5/24,12,2,10,1130
2015/5/25,12,2,10,1143
2015/5/26,23,2,21,1162
2015/5/27,16,1,15,1176
2015/5/28,11,0,11,1187
2015/5/29,10,1,9,1197
2015/5/30,9,1,8,1203
2015/5/31,11,1,10,1216
2015/6/1,12,0,12,1228
2015/6/2,17,1,16,1242
2015/6/3,17,1,16,1258
2015/6/4,13,4,9,1267
2015/6/5,20,1,19,1290
2015/6/6,20,5,15,1302
2015/6/7,22,3,19,1322
2015/6/8,14,3,11,1331
2015/6/9,18,2,16,1347
2015/6/10,22,2,20,1367
2015/6/11,20,1,19,1387
2015/6/12,21,0,21,1407
2015/6/13,11,1,10,1419
2015/6/14,11,2,9,1425
2015/6/15,15,3,12,1438
2015/6/16,20,6,14,1453
2015/6/17,19,1,18,1470
2015/6/18,19,3,16,1487
2015/6/19,14,1,13,1499
2015/6/20,5,0,5,1504
2015/6/21,10,2,8,1513
2015/6/22,17,0,17,1529
2015/6/23,11,1,10,1541
2015/6/24,21,1,20,1562
2015/6/25,10,0,10,1569
2015/6/26,14,3,11,1581
2015/6/27,12,0,12,1593
2015/6/28,12,1,11,1603
2015/6/29,10,2,8,1611
2015/6/30,11,7,4,1616
2015/7/1,24,4,20,1636
2015/7/2,9,3,6,1641
2015/7/3,13,2,11,1652
2015/7/4,16,7,9,1661
2015/7/5,11,4,7,1669
2015/7/6,20,1,19,1687
2015/7/7,20,1,19,1705
2015/7/8,14,1,13,1718
2015/7/9,17,1,16,1735
2015/7/10,12,1,11,1746
2015/7/11,10,0,10,1755
2015/7/12,20,5,15,1770
2015/7/13,18,2,16,1786
2015/7/14,25,4,21,1807
2015/7/15,9,0,9,1816
2015/7/16,26,2,24,1840
2015/7/17,11,2,9,1850
2015/7/18,11,4,7,1860
2015/7/19,16,0,16,1872
2015/7/20,12,2,10,1882
2015/7/21,14,1,13,1897
2015/7/22,19,7,12,1907
2015/7/23,15,1,14,1921
2015/7/24,11,3,8,1929
2015/7/25,19,2,17,1946
2015/7/26,15,0,15,1961
2015/7/27,14,3,11,1973
2015/7/28,17,4,13,1986
2015/7/29,26,3,23,2009
2015/7/30,23,6,17,2025
2015/7/31,13,2,11,2037
2015/8/1,10,2,8,2044
2015/8/2,17,3,14,2058
2015/8/3,14,2,12,2071
2015/8/4,18,2,16,2086
2015/8/5,14,9,5,2091
2015/8/6,12,0,12,2103
2015/8/7,15,3,12,2115
2015/8/8,15,1,14,2131
2015/8/9,12,3,9,2140
2015/8/10,15,3,12,2150
2015/8/11,16,2,14,2166
2015/8/12,22,2,20,2184
2015/8/13,22,2,20,2205
2015/8/14,20,3,17,2223
2015/8/15,23,2,21,2245
2015/8/16,14,1,13,2255
2015/8/17,27,2,25,2280
2015/8/18,19,1,18,2298
2015/8/19,23,6,17,2316
2015/8/20,18,4,14,2330
2015/8/21,21,4,17,2346
2015/8/22,17,3,14,2362
2015/8/23,85,1,84,2444
2015/8/24,58,3,55,2500
2015/8/25,35,8,27,2527
2015/8/26,26,6,20,2547
2015/8/27,28,3,25,2572
2015/8/28,24,4,20,2593
2015/8/29,24,2,22,2615
2015/8/30,24,4,20,2634
2015/8/31,36,3,33,2670
2015/9/1,29,6,23,2688
2015/9/2,28,3,25,2716
2015/9/3,20,1,19,2733
2015/9/4,19,3,16,2749
2015/9/5,15,3,12,2765
2015/9/6,28,7,21,2782
2015/9/7,20,5,15,2802
2015/9/8,23,2,21,2821
2015/9/9,38,5,33,2851
2015/9/10,32,1,31,2873
2015/9/11,26,7,19,2893
2015/9/12,24,3,21,2915
2015/9/13,17,1,16,2933
2015/9/14,44,11,33,2966
2015/9/15,40,3,37,3002
2015/9/16,37,4,33,3034
2015/9/17,30,4,26,3060
2015/9/18,34,3,31,3091
2015/9/19,32,2,30,3121
2015/9/20,30,4,26,3148
2015/9/21,18,1,17,3163
2015/9/22,30,6,24,3186
2015/9/23,46,5,41,3229
2015/9/24,33,8,25,3255
2015/9/25,34,6,28,3282
2015/9/26,32,5,27,3310
2015/9/27,18,6,12,3321
2015/9/28,27,1,26,3349
2015/9/29,30,2,28,3375
2015/9/30,29,2,27,3403
2015/10/1,24,3,21,3423
2015/10/2,18,3,15,3440
2015/10/3,17,2,15,3454
2015/10/4,22,10,12,3469
2015/10/5,39,5,34,3501
2015/10/6,27,3,24,3525
2015/10/7,28,3,25,3551
2015/10/8,23,4,19,3570
2015/10/9,28,5,23,3591
2015/10/10,33,6,27,3619
2015/10/11,29,5,24,3645
2015/10/12,29,5,24,3666
2015/10/13,27,5,22,3690
2015/10/14,29,4,25,3712
2015/10/15,27,9,18,3732
2015/10/16,18,4,14,3746
2015/10/17,27,3,24,3770
2015/10/18,39,7,32,3802
2015/10/19,33,4,29,3830
2015/10/20,31,5,26,3862
2015/10/21,39,3,36,3891
2015/10/22,37,5,32,3925
2015/10/23,26,8,18,3942
2015/10/24,32,6,26,3972
2015/10/25,32,3,29,4003
2015/10/26,28,3,25,4024
2015/10/27,31,2,29,4053
2015/10/28,24,3,21,4073
2015/10/29,28,1,27,4103
2015/10/30,32,5,27,4129
2015/10/31,23,2,21,4149
2015/11/1,20,3,17,4165
2015/11/2,28,2,26,4192
2015/11/3,41,6,35,4226
2015/11/4,46,5,41,4270
2015/11/5,41,4,37,4307
2015/11/6,64,10,54,4355
2015/11/7,30,2,28,4386
2015/11/8,27,3,24,4410
2015/11/9,44,2,42,4455
2015/11/10,28,2,26,4478
2015/11/11,26,3,23,4504
2015/11/12,46,4,42,4547
2015/11/13,35,6,29,4573
2015/11/14,41,2,39,4611
2015/11/15,39,6,33,4647
2015/11/16,48,3,45,4691
2015/11/17,44,4,40,4730
2015/11/18,49,2,47,4777
2015/11/19,58,4,54,4832
2015/11/20,28,2,26,4858
2015/11/21,40,5,35,4896
2015/11/22,37,2,35,4931
2015/11/23,42,1,41,4970
2015/11/24,44,3,41,5012
2015/11/25,65,4,61,5069
2015/11/26,28,4,24,5096
2015/11/27,26,3,23,5116
2015/11/28,27,3,24,5139
2015/11/29,56,18,38,5180
2015/11/30,39,4,35,5216
2015/12/1,59,6,53,5266
2015/12/2,53,6,47,5313
2015/12/3,44,4,40,5353
2015/12/4,38,5,33,5390
2015/12/5,43,1,42,5431
2015/12/6,32,0,32,5462
2015/12/7,31,6,25,5487
2015/12/8,30,3,27,5514
2015/12/9,44,3,41,5555
2015/12/10,38,3,35,5590
2015/12/11,27,3,24,5614
2015/12/12,27,4,23,5637
2015/12/13,42,2,40,5677
2015/12/14,35,6,29,5706
2015/12/15,54,7,47,5753
2015/12/16,47,5,42,5795
2015/12/17,48,8,40,5835
2015/12/18,39,5,34,5869
2015/12/19,40,3,37,5906
2015/12/20,28,2,26,5932
2015/12/21,40,6,34,5966
2015/12/22,38,2,36,6002
2015/12/23,54,7,47,6049
2015/12/24,30,4,26,6075
2015/12/25,24,5,19,6094
2015/12/26,37,6,31,6125
2015/12/27,46,6,40,6165
2015/12/28,51,6,45,6210
2015/12/29,35,4,31,6241
2015/12/30,45,4,41,6282
2015/12/31,22,5,17,6299
2016/1/1,16,3,13,6312
2016/1/2,21,8,13,6325
2016/1/3,33,3,30,6355
2016/1/4,44,7,37,6392
2016/1/5,21,5,16,6408
2016/1/6,55,12,43,6451
2016/1/7,37,12,25,6476
2016/1/8,32,9,23,6499
2016/1/9,31,8,23,6522
2016/1/10,33,1,32,6554
2016/1/11,37,10,27,6581
2016/1/12,35,6,29,6610
2016/1/13,33,7,26,6636
2016/1/14,39,4,35,6671
2016/1/15,26,6,20,6691
2016/1/16,38,3,35,6726
2016/1/17,40,8,32,6758
2016/1/18,46,7,39,6797
2016/1/19,34,5,29,6826
2016/1/20,30,8,22,6848
2016/1/21,37,7,30,6878
2016/1/22,23,1,22,6900
2016/1/23,28,5,23,6923
2016/1/24,34,5,29,6952
2016/1/25,44,1,43,6995
2016/1/26,25,3,22,7017
2016/1/27,33,5,28,7045
2016/1/28,34,7,27,7072
2016/1/29,20,5,15,7087
2016/1/30,31,2,29,7116
2016/1/31,18,6,12,7128
2016/2/1,28,7,21,7149
2016/2/2,24,3,21,7170
2016/2/3,22,5,17,7187
2016/2/4,24,3,21,7208
2016/2/5,17,11,6,7214
2016/2/6,19,4,15,7229
2016/2/7,6,5,1,7230
2016/2/8,12,4,8,7238
2016/2/9,14,2,12,7250
2016/2/10,11,14,-3,7247
2016/2/11,12,2,10,7257
2016/2/12,24,1,23,7280
2016/2/13,28,9,19,7299
2016/2/14,31,5,26,7325
2016/2/15,27,4,23,7348
2016/2/16,41,11,30,7378
2016/2/17,24,3,21,7399
2016/2/18,45,2,43,7442
2016/2/19,34,9,25,7467
2016/2/20,33,9,24,7491
2016/2/21,29,10,19,7510
2016/2/22,30,9,21,7531
2016/2/23,40,8,32,7563
2016/2/24,39,13,26,7589
2016/2/25,42,12,30,7619
2016/2/26,34,9,25,7644
2016/2/27,21,6,15,7659
2016/2/28,38,5,33,7692
2016/2/29,67,6,61,7753
2016/3/1,43,12,31,7784
2016/3/2,54,8,46,7830
2016/3/3,44,7,37,7867
2016/3/4,44,11,33,7900
2016/3/5,54,16,38,7938
2016/3/6,87,5,82,8020
2016/3/7,61,5,56,8076
2016/3/8,85,10,75,8151
2016/3/9,93,5,88,8239
2016/3/10,58,7,51,8290
2016/3/11,52,11,41,8331
2016/3/12,45,10,35,8366
2016/3/13,86,12,74,8440
2016/3/14,38,11,27,8467
2016/3/15,51,12,39,8506
2016/3/16,51,9,42,8548
2016/3/17,48,10,38,8586
2016/3/18,49,10,39,8625
2016/3/19,39,10,29,8654
2016/3/20,52,13,39,8693
2016/3/21,40,15,25,8718
2016/3/22,78,9,69,8787
2016/3/23,53,12,41,8828
2016/3/24,45,4,41,8869
2016/3/25,39,10,29,8898
2016/3/26,39,5,34,8932
2016/3/27,36,8,28,8960
2016/3/28,45,6,39,8999
2016/3/29,50,11,39,9038
2016/3/30,44,11,33,9071
2016/3/31,52,13,39,9110
2016/4/1,40,8,32,9142
2016/4/2,41,7,34,9176
2016/4/3,35,8,27,9203
2016/4/4,48,10,38,9241
2016/4/5,42,11,31,9272
2016/4/6,49,13,36,9308
2016/4/7,30,14,16,9324
2016/4/8,42,8,34,9358
2016/4/9,34,6,28,9386
2016/4/10,51,15,36,9422
2016/4/11,45,10,35,9457
2016/4/12,111,13,98,9555
2016/4/13,60,10,50,9605
2016/4/14,52,13,39,9644
2016/4/15,43,9,34,9678
2016/4/16,39,11,28,9706
2016/4/17,36,6,30,9736
2016/4/18,42,5,37,9773
2016/4/19,51,6,45,9818
2016/4/20,87,8,79,9897
2016/4/21,60,11,49,9946
2016/4/22,40,12,28,9974
2016/4/23,88,11,77,10051
2016/4/24,112,13,99,10150
2016/4/25,66,15,51,10201
2016/4/26,74,11,63,10264
2016/4/27,61,16,45,10309
2016/4/28,56,8,48,10357
2016/4/29,43,4,39,10396
2016/4/30,42,10,32,10428
2016/5/1,53,5,48,10476
2016/5/2,25,7,18,10494
2016/5/3,56,10,46,10540
2016/5/4,53,13,40,10580
2016/5/5,46,10,36,10616
2016/5/6,42,13,29,10645
2016/5/7,46,11,35,10680
2016/5/8,44,11,33,10713
2016/5/9,68,20,48,10761
2016/5/10,40,13,27,10788
2016/5/11,56,9,47,10835
2016/5/12,54,9,45,10880
2016/5/13,48,11,37,10917
2016/5/14,29,7,22,10939
2016/5/15,37,14,23,10962
2016/5/16,55,9,46,11008
2016/5/17,44,8,36,11044
2016/5/18,51,15,36,11080
2016/5/19,49,7,42,11122
2016/5/20,22,7,15,11137
2016/5/21,30,11,19,11156
2016/5/22,35,8,27,11183
2016/5/23,43,4,39,11222
2016/5/24,32,9,23,11245
2016/5/25,30,20,10,11255
2016/5/26,51,7,44,11299
2016/5/27,75,19,56,11355
2016/5/28,38,8,30,11385
2016/5/29,38,13,25,11410
2016/5/30,38,10,28,11438
2016/5/31,44,9,35,11473
2016/6/1,26,10,16,11489
2016/6/2,37,12,25,11514
2016/6/3,44,10,34,11548
2016/6/4,27,8,19,11567
2016/6/5,27,9,18,11585
2016/6/6,76,19,57,11642
2016/6/7,47,17,30,11672
2016/6/8,36,6,30,11702
2016/6/9,54,8,46,11748
2016/6/10,43,14,29,11777
2016/6/11,40,8,32,11809
2016/6/12,46,16,30,11839
2016/6/13,52,14,38,11877
2016/6/14,47,7,40,11917
2016/6/15,32,10,22,11939
2016/6/16,27,6,21,11960
2016/6/17,32,9,23,11983
2016/6/18,28,6,22,12005
2016/6/19,24,8,16,12021
2016/6/20,35,8,27,12048
2016/6/21,40,25,15,12063
2016/6/22,38,7,31,12094
2016/6/23,37,10,27,12121
2016/6/24,38,5,33,12154
2016/6/25,16,14,2,12156
2016/6/26,69,5,64,12220
2016/6/27,28,10,18,12238
2016/6/28,34,6,28,12266
2016/6/29,30,9,21,12287
2016/6/30,27,6,21,12308
2016/7/1,41,12,29,12337
2016/7/2,61,12,49,12386
2016/7/3,52,7,45,12431
2016/7/4,45,17,28,12459
2016/7/5,34,13,21,12480
2016/7/6,20,5,15,12495
2016/7/7,20,11,9,12504
2016/7/8,24,5,19,12523
2016/7/9,15,8,7,12530
2016/7/10,59,17,42,12572
2016/7/11,36,9,27,12599
2016/7/12,43,8,35,12634
2016/7/13,32,4,28,12662
2016/7/14,24,10,14,12676
2016/7/15,28,6,22,12698
2016/7/16,23,10,13,12711
2016/7/17,24,4,20,12731
2016/7/18,28,7,21,12752
2016/7/19,26,10,16,12768
2016/7/20,26,1,25,12793
2016/7/21,19,8,11,12804
2016/7/22,27,7,20,12824
